ID;Art. Nr.;Serie;Artikel;Unsere Preis;Original Preis;Kurzbeschreibung;Beschreibung;Jahrgang;Herkunft;Region;Traubensorte;Farbe;Trinktemperatur;Past gut zu;Alkohol;Raritäten;Inhalt;Charakter
;IT1112;105;MONFERRATO ROSSO DOC REMAJOR;10,5;13,8;MONFERRATO ROSSO DOC REMAJOR;;2008;Italien;Piemont;Barbera, Cabernet, Docetto;Rotwein;;Antipasti, Pasta, Risotto & Pilz, Rotes Fleisch, Vorspeise & Salat;14%;ja;0.75 cl;
;IT1113;105;NEGRO AMARO SALENTO IGT BARRIQUE MASSERE CIVITELLA VALLARSA;7,5;;NEGRO AMARO SALENTO IGT BARRIQUE MASSERE CIVITELLA VALLARSA;;2010;Italien;Salento;Negroamaro, Salento;Rotwein;;Geflügel, Grillfleisch, Lammfleisch, mildem Käse;14%;;0.75 cl;
;IT1114;107;PINOT GRIGIO DELLE VENEZIA GIULIA IGT IL PAL?;7,5;10,5;PINOT GRIGIO DELLE VENEZIA GIULIA IGT IL PAL?;;2010;Italien;Venetien;Pinot Grigio;Weisswein;;Antipasti, Fischgerichte, Geflügel, mildem Käse, Pasta;12,5%;;0.75 cl;
;IT1115;105;ROSSO SALENTO IGT AMORNERO;7,5;13,8;ROSSO SALENTO IGT AMORNERO;;2009;Italien;Apulien;Salento;Rotwein;;Rotes Fleisch, Steak, Vorspeise & Salat;14,5%;;0.75 cl;
;IT1116;105;ROSSO SALENTO IGT BELCONTE;7,5;;ROSSO SALENTO IGT BELCONTE;;2009;Italien;Apulien;Salento;Rotwein;;Rotes Fleisch;14%;;0.75 cl;
;IT1117;105;ROSSO SALENTO IGT DON MATTEO;7,5;11,4;ROSSO SALENTO IGT DON MATTEO;;2009;Italien;Apulien;Salento;Rotwein;;Rotes Fleisch;14%;;0.75 cl;
;IT1118;105;ROSSO VERONESE IGT SARTORI RINO;10,5;;ROSSO VERONESE IGT SARTORI RINO;;2010;Italien;Venetien;Charmat;Rotwein;;Rotes Fleisch;14,5%;ja;0.75 cl;
;IT1119;105;UVA DI TROIA PUGLIA IGT;7,5;;UVA DI TROIA PUGLIA IGT;;2010;Italien;Apulien;Uva di Troia;Rotwein;;Grillfleisch, Rotes Fleisch;13%;;0.75 cl;
;IT1120;108;MOSCATO VINO FRIZZANTE;4,5;7,5;MOSCATO VINO FRIZZANTE;;;Italien;Apulien;Moscato Bianco;Schaumwein;;Aperitif;8%;;0.75 cl;
;IT1121;108;MOSCATO D'ASTI DOCG MORELLI;12,5;16,9;MOSCATO D'ASTI DOCG MORELLI;;;Italien;Piemont;Moscato Bianco;Schaumwein;;Aperitif, Desserts, kräftigem Käse;5%;ja;0.75 cl;
;IT1122;105;AMARONE DELLA VALPOLICELLA CLASSICO DOC MOROPIO;27,5;39;AMARONE DELLA VALPOLICELLA CLASSICO DOC MOROPIO;;2008;Italien;Venetien;Amarone, Corvina, Molinara, Rondinella;Rotwein;;Barbeque, Braten, Grillfleisch, Rindfleisch, Steak, Wildfleisch;16%;ja;0.75 cl;
;IT1123;105;ROSSO ARCOLA DOC PASSONERO;7,5;11,9;ROSSO ARCOLA DOC PASSONERO;;2008;Italien;Venetien;Cabernet, Merlot;Rotwein;;Braten, Grillfleisch, Kalbfleisch, Pasta, Rotes Fleisch;14%;;0.75 cl;
;IT1124;105;CABERNET SAUVIGNON ALGHERO DOC MARCHESE DI VILLAMARINA;32,5;43,5;CABERNET SAUVIGNON ALGHERO DOC MARCHESE DI VILLAMARINA;;2006;Italien;Sardinien;Cabernet Sauvignon;Rotwein;;Braten, kräftigem Käse, Wildfleisch;13%;ja;0.75 cl;
;IT1125;105;CHIANTI CLASSICO DOCG RISERVA DUCALE RUFFINO;15,5;24,8;CHIANTI CLASSICO DOCG RISERVA DUCALE RUFFINO;;2007;Italien;Toskana;Cabernet Sauvignon, Merlot, Sangiovese;Rotwein;;Braten, Grillfleisch, kräftigem Käse, Pasta, Steak, Wildfleisch;13,5%;ja;0.75 cl;
;IT1126;105;SANGIOVESE CABERNET CANAIOLO BARCO REALE DI CARMIGNANO;12,5;16,8;SANGIOVESE CABERNET CANAIOLO BARCO REALE DI CARMIGNANO;;2008;Italien;Toskana;Cabernet, Canaiolo, Sangiovese;Rotwein;;Braten, Grillfleisch, Rotes Fleisch;11%;ja;0.75 cl;
;IT1127;105;VALPOLICELLA DOC VILLA GIULIA;4,5;9,9;VALPOLICELLA DOC VILLA GIULIA;;2009;Italien;Abruzzen;Valpolicella;Rotwein;;kräftigem Käse, Rotes Fleisch;13%;;0.75 cl;
;IT1128;105;NERO D'ARCOLE DOC DESMONTA;20,5;33,5;NERO D'ARCOLE DOC DESMONTA;;2008;Italien;Venetien;Cabernet Sauvignon, Merlot;Rotwein;;Grillfleisch, kräftigem Käse, Wildfleisch;15%;ja;0.75 cl;
;IT1129;108;"COLLI DI CONEGLIANO BIANCO DOC ,,MINA""";10,5;;"COLLI DI CONEGLIANO BIANCO DOC ,,MINA""";;2010;Italien;;Chardonnay, Incrocio Manzoni, Sauvignon Blanc;Weisswein;;Fischgerichte, Käseplatte, Meeresfrüchte;12,5%;ja;0.75 cl;
;IT1130;105;"CABERNET SAUVIGNON DOC ""ICÓNA""";7,5;10,5;"CABERNET SAUVIGNON DOC ""ICÓNA""";;2008;Italien;Venetien;Cabernet Sauvignon;Rotwein;;Rotes Fleisch;13%;;0.75 cl;
;IT1131;105;BIFERNO ROSSO ROSERVA BACARO DOC;7,5;10,5;BIFERNO ROSSO ROSERVA BACARO DOC;;2004;Italien;Molise;Aglianico, Montepulciano;Rotwein;;Braten, Kalbfleisch, Rotes Fleisch, Wildfleisch;13%;;0.75 cl;
;IT1132;105;MERLOT RINERO ROSSO IGT DESMONTA;12,5;15,5;MERLOT RINERO ROSSO IGT DESMONTA;;2008;Italien;Venetien;Cabernet Sauvignon, Merlot;Rotwein;;Braten, Grillfleisch, kräftigem Käse, Wildfleisch;14%;ja;0.75 cl;
;IT1133;107;MULLER THURGAU DELLA VENEZIE IGT ASTORIA VINO FRIZZANTE;10,5;;MULLER THURGAU DELLA VENEZIE IGT ASTORIA VINO FRIZZANTE;;;Italien;Venetien;Müller-Thurgau;Weisswein;;Aperitif, Vegetarisches, Vorspeise & Salat, Weisses Fleisch;12%;ja;0.75 cl;
;IT1134;105;RUFFINO II DUCALE IGT ROSSO;12,5;17,55;RUFFINO II DUCALE IGT ROSSO;;2009;Italien;Toskana;Cabernet Sauvignon, Merlot, Sangiovese;Rotwein;;Braten, Grillfleisch, kräftigem Käse, Pasta, Steak, Wildfleisch;13,5%;ja;0.75 cl;
;IT1135;105;CANNONAU DI SARDEGNA DOC RISERVA LE BIGHE;7,5;12,5;CANNONAU DI SARDEGNA DOC RISERVA LE BIGHE;;2007;Italien;Sardinien;Cannonau;Rotwein;;Antipasti;13%;;0.75 cl;
;IT1136;108;VINO SPUMANTE CUVÉE ASTORIA LOUNGE;7,5;10,5;VINO SPUMANTE CUVÉE ASTORIA LOUNGE;;;Italien;Venetien;Chardonnay, Prosecco;Schaumwein;;Aperitif;11%;;0.75 cl;
;IT1137;108;VINO SPUMANTE SWEET ASTORIA LOUNGE;7,5;10,5;VINO SPUMANTE SWEET ASTORIA LOUNGE;;;Italien;Venetien;Prosecco;Schaumwein;;Aperitif;7%;;0.75 cl;
;IT1138;108;VINO SPUMANTE ROSÉ ASTORIA LOUNGE;5,5;10,5;VINO SPUMANTE ROSÉ ASTORIA LOUNGE;;;Italien;Venetien;Prosecco;Schaumwein;;Aperitif;11,5%;;0.75 cl;
;IT1139;108;GARGANEGA PROSECCO EXTRA DRY CALDIROLA;5,5;;GARGANEGA PROSECCO EXTRA DRY CALDIROLA;;;Italien;Venetien;Prosecco;Schaumwein;;Aperitif;11,5%;;0.75 cl;
;IT1140;108;PROSECCO SPUMANTE VENETO DOC BAROCCA EXTRA DRY;10,5;12,5;PROSECCO SPUMANTE VENETO DOC BAROCCA EXTRA DRY;;;Italien;venetien;Prosecco;Schaumwein;;Aperitif;11%;ja;0.75 cl;
;IT1141;108;PROSECCO SPUMANTE VENETO DOC BORGO DEI SASSI BRUT;10,5;12,5;PROSECCO SPUMANTE VENETO DOC BORGO DEI SASSI BRUT;;;Italien;Venetien;Prosecco;Schaumwein;;Aperitif;11%;ja;0.75 cl;
